,cost_list,lambd,learn_rate,training_accuracy,training_cost,training_f1score,training_precision,training_recall,validation_accuracy,validation_cost,validation_f1score,validation_precision,validation_recall
0,"[1.02847811960616, 0.5674144566450912, 0.5248673214999212, 0.49804352294427956, 0.47985829629036997, 0.4668356606777329, 0.45703727863256655, 0.4495070003074702, 0.4436037178459864, 0.43878362925417586, 0.4349068534101477, 0.4317089231639921, 0.428965854216977, 0.4265832714352629, 0.424501683234588, 0.42265188535681447, 0.42100953718051687, 0.4195453545338593, 0.4182266448085657, 0.41703691176180935, 0.41595765149740205, 0.4149512838989489, 0.4140057277328211, 0.41313126379491083, 0.4123331806631281, 0.411585943550479, 0.4108869324511632, 0.4102383947734224, 0.40962424480161086, 0.40903560741948614, 0.40847126090348335, 0.40793116947777436, 0.4074190168084617, 0.40693370028063464, 0.4064647792015543, 0.40600815613130387, 0.40557014517443285, 0.4051575892731459, 0.40476373491944617, 0.40438472513282675, 0.40401805832736043, 0.4036619487179093, 0.40331837957274114, 0.4029844820445574, 0.40266152200208444, 0.4023475886925696, 0.4020374903670388, 0.4017370479365603, 0.4014456612610778, 0.4011626164680738, 0.4008897374097698, 0.40062677693006676, 0.4003695375492755, 0.4001178290680404, 0.39987435956678824, 0.3996369153116387, 0.3994069360829152, 0.3991836375606249, 0.39896536290779294, 0.39875172924378327, 0.3985414241747421, 0.3983331218760098, 0.39812929909568595, 0.39792971406594035, 0.39773242644124895, 0.39753741162055345, 0.3973448548984293, 0.3971550533026859, 0.39696816056905115, 0.39678299011078266, 0.3966005284578462, 0.3964205488097331, 0.39624338575172485, 0.39606907503969613, 0.395897851753676, 0.3957296498327724, 0.39556524918379155, 0.3954035321387903, 0.395244543014867, 0.3950873651503506, 0.39493261290979803, 0.39477994916179904, 0.39462919600786694, 0.3944802153908843, 0.39433336549683734, 0.39418827738199375, 0.39404319383204395, 0.393899792572394, 0.3937585640717837, 0.39361837408314004, 0.39348087655286657, 0.3933469678582306, 0.39321462110507616, 0.39308628752754593, 0.3929598872126273, 0.3928342936634088, 0.39270989574193044]",0.009999999776482582,0.0010000000474974513,0.8359046283309958,0.3926363358997448,0.777142857142857,0.8292682926829268,0.7311827956989247,0.8707865168539326,0.324004411829031,0.8160000000000001,0.8225806451612904,0.8095238095238095
1,[0.7055640793272018],0.10000000149011612,0.0010000000474974513,0.7321178120617111,0.6089821430225687,0.5668934240362812,0.7716049382716049,0.44802867383512546,0.7640449438202247,0.6035901664488384,0.611111111111111,0.7333333333333333,0.5238095238095238
2,[0.763663226318023],1.0,0.0010000000474974513,0.6086956521739131,0.6958395247302657,0.0071174377224199285,0.5,0.0035842293906810036,0.6404494382022472,0.6795285412178546,,0.0,0.0
3,[0.7479744493898123],10.0,0.0010000000474974513,0.3899018232819074,0.7411367475783883,0.5245901639344263,0.37735849056603776,0.8602150537634409,0.34269662921348315,0.7526248859227944,0.4753363228699552,0.33125,0.8412698412698413
4,[0.6814292438725875],100.0,0.0010000000474974513,0.6086956521739131,0.6791798207602048,,,0.0,0.6460674157303371,0.6635485791346772,,,0.0
5,[0.8020147088273517],0.009999999776482582,0.009999999776482582,0.5680224403927069,0.6980349518818616,0.32158590308370044,0.41714285714285715,0.2616487455197133,0.6123595505617978,0.6768232707674229,0.37837837837837834,0.4375,0.3333333333333333
6,[0.7364784225186767],0.10000000149011612,0.009999999776482582,0.603085553997195,0.6898999633645526,0.4164948453608247,0.49029126213592233,0.36200716845878134,0.702247191011236,0.6793596428912078,0.5046728971962617,0.6136363636363636,0.42857142857142855
7,[0.6843861088304944],1.0,0.009999999776482582,0.6157082748948106,0.6697008116314567,0.23033707865168535,0.5324675324675324,0.14695340501792115,0.6573033707865169,0.6607836721363715,0.20779220779220778,0.5714285714285714,0.12698412698412698
8,[0.6379700495752978],10.0,0.009999999776482582,0.6255259467040674,0.6249181599295227,0.21700879765395892,0.5967741935483871,0.13261648745519714,0.6853932584269663,0.586418659392675,0.31707317073170727,0.6842105263157895,0.20634920634920634
9,[0.8524239951548469],100.0,0.009999999776482582,0.46563814866760167,0.7026880163788968,0.49402390438247007,0.3924050632911392,0.6666666666666666,0.5168539325842697,0.6940602862730091,0.5376344086021504,0.4065040650406504,0.7936507936507936
10,[1.044686657546998],0.009999999776482582,0.10000000149011612,0.7657784011220197,0.5269519421032056,0.6423982869379015,0.7978723404255319,0.5376344086021505,0.8089887640449438,0.4787818454696397,0.6964285714285715,0.7959183673469388,0.6190476190476191
11,[0.7047926867021044],0.10000000149011612,0.10000000149011612,0.6521739130434783,0.6228472176168495,0.22981366459627328,0.8604651162790697,0.13261648745519714,0.6966292134831461,0.5993711146328762,0.2894736842105263,0.8461538461538461,0.1746031746031746
12,[0.6879466497788701],1.0,0.10000000149011612,0.6213183730715287,0.6117013683323328,0.08783783783783784,0.7647058823529411,0.04659498207885305,0.6685393258426966,0.5914952997517506,0.14492753623188404,0.8333333333333334,0.07936507936507936
13,[0.7843106555260042],10.0,0.10000000149011612,0.6718092566619915,0.6255454121314066,0.33142857142857146,0.8169014084507042,0.2078853046594982,0.7134831460674157,0.6103990285150178,0.3544303797468354,0.875,0.2222222222222222
14,[0.7080166577774276],100.0,0.10000000149011612,0.6115007012622721,0.6412787537268512,0.014234875444839857,1.0,0.007168458781362007,0.651685393258427,0.6235538085264154,0.03125,1.0,0.015873015873015872
15,[0.7083553754994857],0.009999999776482582,1.0,0.8022440392706872,0.4532600544120331,0.7364485981308412,0.76953125,0.7060931899641577,0.8426966292134831,0.36991333654501074,0.7704918032786885,0.7966101694915254,0.746031746031746
16,[0.816094418344029],0.10000000149011612,1.0,0.8120617110799438,0.47377522767811103,0.7509293680297399,0.7799227799227799,0.7240143369175627,0.8539325842696629,0.3839157073085161,0.7868852459016393,0.8135593220338984,0.7619047619047619
17,[0.7608826221671727],1.0,1.0,0.8050490883590463,0.45773223032271704,0.7522281639928698,0.74822695035461,0.7562724014336918,0.8707865168539326,0.38902042937062603,0.8217054263565892,0.803030303030303,0.8412698412698413
18,[0.6929384130811426],10.0,1.0,0.8092566619915849,0.4445212964717356,0.7490774907749078,0.7718631178707225,0.7275985663082437,0.8539325842696629,0.3613786390947542,0.7968749999999999,0.7846153846153846,0.8095238095238095
19,[0.6207388824248538],100.0,1.0,0.6086956521739131,0.6499357734894725,,,0.0,0.6460674157303371,0.6329195695272837,,,0.0
20,[0.6673380505832445],0.009999999776482582,10.0,0.391304347826087,0.8315303494037665,0.5625,0.391304347826087,1.0,0.3539325842696629,0.8579942770241958,0.5228215767634855,0.3539325842696629,1.0
21,[0.7581505002612189],0.10000000149011612,10.0,0.6086956521739131,0.7170537245655164,,,0.0,0.6460674157303371,0.6761345416390595,,,0.0
22,[0.7196422870682616],1.0,10.0,0.391304347826087,0.834410262210177,0.5625,0.391304347826087,1.0,0.3539325842696629,0.8612588219293164,0.5228215767634855,0.3539325842696629,1.0
23,[0.7109710329729241],10.0,10.0,0.391304347826087,0.8247529306237293,0.5625,0.391304347826087,1.0,0.3539325842696629,0.850299029387963,0.5228215767634855,0.3539325842696629,1.0
24,[0.672334244936232],100.0,10.0,0.391304347826087,0.8341863185764171,0.5625,0.391304347826087,1.0,0.3539325842696629,0.8610050806140411,0.5228215767634855,0.3539325842696629,1.0
